"";"En1";"n1";"1-alpha";"Percent";"VR"
"HS";333,7;345;0,05;0,0516931375486964;1,03386275097393
"Normal";333,7;313;0,05;0,0468984117470782;0,937968234941564
"t-stud";333,7;370;0,05;0,0554390170812107;1,10878034162421
"skew-t";333,7;360;0,05;0,053940665268205;1,0788133053641
