"";"En1";"n1";"1-alpha";"Percent";"VR"
"HS";166,85;185;0,025;0,0277195085406053;1,10878034162421
"Normal";166,85;197;0,025;0,0295175307162122;1,18070122864849
"t-stud";166,85;200;0,025;0,0299670362601139;1,19868145040455
"skew-t";166,85;188;0,025;0,028169014084507;1,12676056338028
