"";"En1";"n1";"1-alpha";"Percent";"VR"
"HS";66,7400000000001;89;0,01;0,0133353311357507;1,33353311357507
"Normal";66,7400000000001;123;0,01;0,01842972729997;1,842972729997
"t-stud";66,7400000000001;89;0,01;0,0133353311357507;1,33353311357507
"skew-t";66,7400000000001;78;0,01;0,0116871441414444;1,16871441414444
