"";"En1";"n1";"1-alpha";"Percent";"VR"
"Normal";333,55;425;0,05;0,063708589416879;1,27417178833758
"t-stud";333,55;475;0,05;0,0712037175835707;1,42407435167141
"skew-t";333,55;391;0,05;0,0586119022635287;1,17223804527057
"sged";333,55;357;0,05;0,0535152151101784;1,07030430220357
