"";"En1";"n1";"1-alpha";"Percent";"VR"
"Normal";335,35;342;0,05;0,0509915014164306;1,01983002832861
"t-stud";335,35;417;0,05;0,0621738482182794;1,24347696436559
"skew-t";335,35;397;0,05;0,0591918890711197;1,18383778142239
"sged";335,35;342;0,05;0,0509915014164306;1,01983002832861
