"";"En1";"n1";"1-alpha";"Percent";"VR"
"Normal";167,675;220;0,025;0,0328015506187565;1,31206202475026
"t-stud";167,675;224;0,025;0,0333979424481885;1,33591769792754
"skew-t";167,675;207;0,025;0,0308632771731027;1,23453108692411
"sged";167,675;176;0,025;0,0262412404950052;1,04964961980021
