"";"En1";"n1";"1-alpha";"Percent";"VR"
"Normal";67,0700000000001;121;0,01;0,0180408528403161;1,80408528403161
"t-stud";67,0700000000001;98;0,01;0,0146115998210825;1,46115998210824
"skew-t";67,0700000000001;85;0,01;0,0126733263754287;1,26733263754286
"sged";67,0700000000001;82;0,01;0,0122260325033547;1,22260325033547
