"";"En1";"n1";"1-alpha";"Percent";"VR"
"Normal";166,775;271;0,025;0,0406235946634687;1,62494378653875
"t-stud";166,775;273;0,025;0,0409233997901364;1,63693599160546
"skew-t";166,775;204;0,025;0,0305801229201019;1,22320491680408
"sged";166,775;192;0,025;0,0287812921600959;1,15125168640384
