"";"En1";"n1";"1-alpha";"Percent";"VR"
"HS";131,625;161;0,025;0,0305792972459639;1,22317188983856
"Normal";131,625;201;0,025;0,0381766381766382;1,52706552706553
"t-stud";131,625;193;0,025;0,0366571699905033;1,46628679962013
"skew-t";131,625;170;0,025;0,0322886989553656;1,29154795821462
