"";"En1";"n1";"1-alpha";"Percent";"VR"
"HS";52,65;66;0,01;0,0125356125356125;1,25356125356125
"Normal";52,65;134;0,01;0,0254510921177588;2,54510921177588
"t-stud";52,65;88;0,01;0,0167141500474834;1,67141500474834
"skew-t";52,65;71;0,01;0,0134852801519468;1,34852801519468
