"";"En1";"n1";"1-alpha";"Percent";"VR"
"HS";263,25;304;0,05;0,0577397910731244;1,15479582146249
"Normal";263,25;306;0,05;0,0581196581196581;1,16239316239316
"t-stud";263,25;355;0,05;0,0674264007597341;1,34852801519468
"skew-t";263,25;319;0,05;0,0605887939221273;1,21177587844254
