"";"En1";"n1";"1-alpha";"Percent";"VR"
"Normal";166,85;194;0,025;0,0290680251723105;1,16272100689242
"t-stud";166,85;202;0,025;0,030266706622715;1,2106682649086
"skew-t";166,85;195;0,025;0,029217860353611;1,16871441414444
"sged";166,85;182;0,025;0,0272700029967036;1,09080011986814
