"";"En1";"n1";"1-alpha";"Percent";"VR"
"Normal";333,7;325;0,05;0,048696433922685;0,9739286784537
"t-stud";333,7;389;0,05;0,0582858855259215;1,16571771051843
"skew-t";333,7;391;0,05;0,0585855558885226;1,17171111777045
"sged";333,7;338;0,05;0,0506442912795924;1,01288582559185
