"";"En1";"n1";"1-alpha";"Percent";"VR"
"Normal";31,43;52;0,01;0,0165447025135221;1,65447025135221
"t-stud";31,43;37;0,01;0,011772192173083;1,1772192173083
"skew-t";31,43;35;0,01;0,0111358574610245;1,11358574610245
"sged";31,43;30;0,01;0,00954502068087814;0,954502068087813
