"";"En1";"n1";"1-alpha";"Percent";"VR"
"HS";54,5700000000001;71;0,01;0,0130108118013561;1,3010811801356
"Normal";54,5700000000001;125;0,01;0,0229063588052043;2,29063588052043
"t-stud";54,5700000000001;91;0,01;0,0166758292101887;1,66758292101887
"skew-t";54,5700000000001;68;0,01;0,0124610591900312;1,24610591900311
