"";"En1";"n1";"1-alpha";"Percent";"VR"
"HS";272,85;293;0,05;0,0536925050393989;1,07385010078798
"Normal";272,85;297;0,05;0,0544255085211655;1,08851017042331
"t-stud";272,85;337;0,05;0,0617555433388309;1,23511086677662
"skew-t";272,85;308;0,05;0,0564412680960235;1,12882536192047
