"";"En1";"n1";"1-alpha";"Percent";"VR"
"HS";136,425;160;0,025;0,0293201392706615;1,17280557082646
"Normal";136,425;201;0,025;0,0368334249587686;1,47333699835074
"t-stud";136,425;196;0,025;0,0359171706065604;1,43668682426241
"skew-t";136,425;168;0,025;0,0307861462341946;1,23144584936778
