"";"En1";"n1";"1-alpha";"Percent";"VR"
"HS";66,7100000000001;88;0,01;0,0131914255733773;1,31914255733773
"Normal";66,7100000000001;187;0,01;0,0280317793434268;2,80317793434267
"t-stud";66,7100000000001;143;0,01;0,0214360665567381;2,14360665567381
"skew-t";66,7100000000001;85;0,01;0,0127417178833758;1,27417178833758
