"";"En1";"n1";"1-alpha";"Percent";"VR"
"HS";166,775;220;0,025;0,0329785639334433;1,31914255733773
"Normal";166,775;280;0,025;0,0419727177334732;1,67890870933893
"t-stud";166,775;297;0,025;0,0445210613101484;1,78084245240593
"skew-t";166,775;227;0,025;0,0340278818767801;1,3611152750712
