"";"En1";"n1";"1-alpha";"Percent";"VR"
"HS";35,58;42;0,01;0,0118043844856661;1,18043844856661
"Normal";35,58;69;0,01;0,0193929173693086;1,93929173693086
"t-stud";35,58;57;0,01;0,0160202360876897;1,60202360876897
"skew-t";35,58;47;0,01;0,0132096683530073;1,32096683530073
