"";"En1";"n1";"1-alpha";"Percent";"VR"
"HS";177,9;197;0,05;0,0553681843732434;1,10736368746487
"Normal";177,9;173;0,05;0,0486228218100056;0,972456436200112
"t-stud";177,9;207;0,05;0,0581787521079258;1,16357504215852
"skew-t";177,9;190;0,05;0,0534007869589657;1,06801573917931
