"";"En1";"n1";"1-alpha";"Percent";"VR"
"HS";167,675;192;0,025;0,028626807812733;1,14507231250932
"Normal";167,675;221;0,025;0,0329506485761145;1,31802594304458
"t-stud";167,675;222;0,025;0,0330997465334725;1,3239898613389
"skew-t";167,675;197;0,025;0,0293722975995229;1,17489190398091
