"";"En1";"n1";"1-alpha";"Percent";"VR"
"HS";67,0700000000001;79;0,01;0,0117787386312808;1,17787386312807
"Normal";67,0700000000001;136;0,01;0,0202773222006859;2,02773222006858
"t-stud";67,0700000000001;94;0,01;0,0140152079916505;1,40152079916505
"skew-t";67,0700000000001;82;0,01;0,0122260325033547;1,22260325033547
