"";"En1";"n1";"1-alpha";"Percent";"VR"
"HS";335,35;328;0,05;0,0489041300134188;0,978082600268375
"Normal";335,35;313;0,05;0,0466676606530491;0,93335321306098
"t-stud";335,35;384;0,05;0,0572536156254659;1,14507231250932
"skew-t";335,35;353;0,05;0,0526315789473684;1,05263157894737
