"";"En1";"n1";"1-alpha";"Percent";"VR"
"Normal";167,675;229;0,025;0,0341434322349784;1,36573728939913
"t-stud";167,675;221;0,025;0,0329506485761145;1,31802594304458
"skew-t";167,675;196;0,025;0,0292231996421649;1,1689279856866
"sged";167,675;174;0,025;0,0259430445802892;1,03772178321157
