"";"En1";"n1";"1-alpha";"Percent";"VR"
"Normal";67,0700000000001;127;0,01;0,018935440584464;1,8935440584464
"t-stud";67,0700000000001;88;0,01;0,0131206202475026;1,31206202475026
"skew-t";67,0700000000001;83;0,01;0,0123751304607127;1,23751304607127
"sged";67,0700000000001;74;0,01;0,0110332488444908;1,10332488444908
