"";"En1";"n1";"1-alpha";"Percent";"VR"
"Normal";335,35;367;0,05;0,0547189503503802;1,0943790070076
"t-stud";335,35;394;0,05;0,0587445951990458;1,17489190398091
"skew-t";335,35;358;0,05;0,0533770687341583;1,06754137468317
"sged";335,35;331;0,05;0,0493514238854928;0,987028477709854
