"";"En1";"n1";"1-alpha";"Percent";"VR"
"Normal";66,7400000000001;0;0,01;0;0
"t-stud";66,7400000000001;0;0,01;0;0
"skew-t";66,7400000000001;0;0,01;0;0
"sged";66,7400000000001;0;0,01;0;0
